market,korean_name,english_name
KRW-BTC,비트코인,Bitcoin
KRW-ETH,이더리움,Ethereum
KRW-ETC,이더리움 클래식,Ethereum Classic
KRW-XRP,엑스알피 [리플],XRP
KRW-BCH,비트코인 캐시,Bitcoin Cash
KRW-QTUM,퀀텀,Qtum
KRW-EOS,이오스,EOS
KRW-ICX,아이콘,ICON
KRW-TRX,트론,TRON
KRW-ELF,엘프,aelf
KRW-KNC,카이버 네트워크,Kyber Network
KRW-GLM,골렘,Golem
KRW-ZIL,질리카,Zilliqa
KRW-WAXP,왁스,WAXP
KRW-POWR,파워렛저,Powerledger
KRW-LRC,루프링,Loopring
KRW-STEEM,스팀,Steem
KRW-ZRX,제로엑스,0x
KRW-SNT,스테이터스네트워크토큰,Status Network
KRW-ADA,에이다,Cardano
KRW-CTXC,코르텍스,Cortex
KRW-BAT,베이직어텐션토큰,Basic Attention Token
KRW-THETA,쎄타토큰,Theta Token
KRW-CVC,시빅,Civic
KRW-WAVES,웨이브,Waves
KRW-LINK,체인링크,ChainLink
KRW-ENJ,엔진코인,Enjin Coin
KRW-VET,비체인,VeChainThor
KRW-MTL,메탈,Metal
KRW-IOST,이오스트,IOST
KRW-AMO,아모코인,AMO Coin
KRW-BSV,비트코인에스브이,BITCOINSV
KRW-ORBS,오브스,Orbs
KRW-TFUEL,쎄타퓨엘,TFUEL
KRW-ANKR,앵커,Ankr Network
KRW-MIX,믹스마블,MixMarvel Token
KRW-CRO,크로노스,Cronos
KRW-CHR,크로미아,Chromia
KRW-MBL,무비블록,MovieBloc
KRW-FCT2,피르마체인,Firmachain
KRW-WOM,왐토큰,WOM Token
KRW-BOA,보아,BOSAGORA
KRW-MEV,미버스,MEVerse
KRW-SXP,솔라,Solar
KRW-COS,콘텐토스,Contentos
KRW-EL,엘리시아,ELYSIA
KRW-HIVE,하이브,Hive
KRW-XPR,엑스피알 네트워크,XPR Network
KRW-EGG,네스트리,Nestree
KRW-BORA,보라,BORA
KRW-ARPA,알파,ARPA
KRW-CTC,크레딧코인,Creditcoin
KRW-APM,에이피엠 코인,apM Coin
KRW-CKB,너보스,Nervos Network
KRW-AERGO,아르고,Aergo
KRW-EVZ,이브이지,Electronic Vehicle Zone
KRW-QTCON,퀴즈톡,Quiztok
KRW-UNI,유니스왑,Uniswap
KRW-YFI,연파이낸스,yearn.finance
KRW-UMA,우마,UMA
KRW-AAVE,에이브,Aave
KRW-COMP,컴파운드,Compound
KRW-BAL,밸런서,Balancer
KRW-RSR,리저브라이트,Reserve Rights
KRW-NMR,뉴메레르,Numeraire
KRW-RLC,아이젝,iExec RLC
KRW-UOS,울트라,Ultra
KRW-SAND,샌드박스,The Sandbox
KRW-STPT,에스티피,Standard Tokenization Protocol
KRW-BEL,벨라프로토콜,Bella Protocol
KRW-OBSR,옵저버,Observer
KRW-POLA,폴라리스 쉐어,Polaris Share
KRW-ADP,어댑터 토큰,Adappter Token
KRW-DVI,디비전,Dvision Network
KRW-GHX,게이머코인,Gamercoin
KRW-CBK,코박토큰,Cobak Token
KRW-MVC,마일벌스,MileVerse
KRW-BLY,블로서리,Blocery
KRW-GRT,더그래프,The Graph
KRW-BIOT,바이오패스포트,BioPassport
KRW-SNX,신세틱스,Synthetix Network Token
KRW-SOFI,라이파이낸스,Rai Finance
KRW-GRACY,그레이시,Gracy
KRW-OXT,오키드,Orchid
KRW-MAPO,맵프로토콜,MAP Protocol
KRW-AQT,알파쿼크,Alpha Quark Token
KRW-WIKEN,위드,Project WITH
KRW-CTSI,카르테시,Cartesi
KRW-MANA,디센트럴랜드,Decentraland
KRW-LPT,라이브피어,Livepeer
